0: -30+29+0
1: -30+29+1
2: -30+29+2
3: -30+29+3
4: -30+29+4
5: -29+29+0
6: -29+29+1
7: -29+29+2
8: -29+29+3
9: -29+29+4
10: -29+28+0
11: -29+28+1
12: -29+28+2
13: -29+28+3
14: -29+28+4
15: -29+27+0
16: -29+27+1
17: -29+27+2
18: -29+27+3
19: -29+27+4
20: -28+29+0
21: -28+29+1
22: -28+29+2
23: -28+29+3
24: -28+29+4
25: -28+28+0
26: -28+28+1
27: -28+28+2
28: -28+28+3
29: -28+28+4
30: -28+27+0
31: -28+27+1
32: -28+27+2
33: -28+27+3
34: -28+27+4
35: -27+29+0
36: -27+29+1
37: -27+29+2
38: -27+29+3
39: -27+29+4
40: -27+28+0
41: -27+28+1
42: -27+28+2
43: -27+28+3
44: -27+28+4
45: -27+27+0
46: -27+27+1
47: -27+27+2
48: -27+27+3
49: -27+27+4
50: -27+26+0
51: -27+26+1
52: -27+26+2
53: -27+26+3
54: -27+26+4
55: -27+25+0
56: -27+25+1
57: -27+25+2
58: -27+25+3
59: -27+25+4
60: -26+29+0
61: -26+29+1
62: -26+29+2
63: -26+29+3
64: -26+29+4
65: -26+28+0
66: -26+28+1
67: -26+28+2
68: -26+28+3
69: -26+28+4
70: -26+27+0
71: -26+27+1
72: -26+27+2
73: -26+27+3
74: -26+27+4
75: -26+26+0
76: -26+26+1
77: -26+26+2
78: -26+26+3
79: -26+26+4
80: -26+25+0
81: -26+25+1
82: -26+25+2
83: -26+25+3
84: -26+25+4
85: -26+24+0
86: -26+24+1
87: -26+24+2
88: -26+24+3
89: -26+24+4
90: -25+29+0
91: -25+29+1
92: -25+29+2
93: -25+29+3
94: -25+29+4
95: -25+28+0
96: -25+28+1
97: -25+28+2
98: -25+28+3
99: -25+28+4
100: -25+27+0
101: -25+27+1
102: -25+27+2
103: -25+27+3
104: -25+27+4
105: -25+26+0
106: -25+26+1
107: -25+26+2
108: -25+26+3
109: -25+26+4
110: -25+25+0
111: -25+25+1
112: -25+25+2
113: -25+25+3
114: -25+25+4
115: -25+24+0
116: -25+24+1
117: -25+24+2
118: -25+24+3
119: -25+24+4
120: -25+23+0
121: -25+23+1
122: -25+23+2
123: -25+23+3
124: -25+23+4
125: -24+29+0
126: -24+29+1
127: -24+29+2
128: -24+29+3
129: -24+29+4
130: -24+28+0
131: -24+28+1
132: -24+28+2
133: -24+28+3
134: -24+28+4
135: -24+27+0
136: -24+27+1
137: -24+27+2
138: -24+27+3
139: -24+27+4
140: -24+26+0
141: -24+26+1
142: -24+26+2
143: -24+26+3
144: -24+26+4
145: -24+25+0
146: -24+25+1
147: -24+25+2
148: -24+25+3
149: -24+25+4
150: -24+24+0
151: -24+24+1
152: -24+24+2
153: -24+24+3
154: -24+24+4
155: -24+23+0
156: -24+23+1
157: -24+23+2
158: -24+23+3
159: -24+23+4
160: -24+22+0
161: -24+22+1
162: -24+22+2
163: -24+22+3
164: -24+22+4
165: -23+29+0
166: -23+29+1
167: -23+29+2
168: -23+29+3
169: -23+29+4
170: -23+28+0
171: -23+28+1
172: -23+28+2
173: -23+28+3
174: -23+28+4
175: -23+27+0
176: -23+27+1
177: -23+27+2
178: -23+27+3
179: -23+27+4
180: -23+26+0
181: -23+26+1
182: -23+26+2
183: -23+26+3
184: -23+26+4
185: -23+25+0
186: -23+25+1
187: -23+25+2
188: -23+25+3
189: -23+25+4
190: -23+24+0
191: -23+24+1
192: -23+24+2
193: -23+24+3
194: -23+24+4
195: -23+23+0
196: -23+23+1
197: -23+23+2
198: -23+23+3
199: -23+23+4
200: -23+22+0
201: -23+22+1
202: -23+22+2
203: -23+22+3
204: -23+22+4
205: -23+21+0
206: -23+21+1
207: -23+21+2
208: -23+21+3
209: -23+21+4
210: -22+27+0
211: -22+27+1
212: -22+27+2
213: -22+27+3
214: -22+27+4
215: -22+26+0
216: -22+26+1
217: -22+26+2
218: -22+26+3
219: -22+26+4
220: -22+25+0
221: -22+25+1
222: -22+25+2
223: -22+25+3
224: -22+25+4
225: -22+24+0
226: -22+24+1
227: -22+24+2
228: -22+24+3
229: -22+24+4
230: -22+23+0
231: -22+23+1
232: -22+23+2
233: -22+23+3
234: -22+23+4
235: -22+22+0
236: -22+22+1
237: -22+22+2
238: -22+22+3
239: -22+22+4
240: -22+21+0
241: -22+21+1
242: -22+21+2
243: -22+21+3
244: -22+21+4
245: -22+20+0
246: -22+20+1
247: -22+20+2
248: -22+20+3
249: -22+20+4
250: -21+29+0
251: -21+29+1
252: -21+29+2
253: -21+29+3
254: -21+29+4
255: -21+28+0
256: -21+28+1
257: -21+28+2
258: -21+28+3
259: -21+28+4
260: -21+27+0
261: -21+27+1
262: -21+27+2
263: -21+27+3
264: -21+27+4
265: -21+26+0
266: -21+26+1
267: -21+26+2
268: -21+26+3
269: -21+26+4
270: -21+25+0
271: -21+25+1
272: -21+25+2
273: -21+25+3
274: -21+25+4
275: -21+23+0
276: -21+23+1
277: -21+23+2
278: -21+23+3
279: -21+23+4
280: -21+22+0
281: -21+22+1
282: -21+22+2
283: -21+22+3
284: -21+22+4
285: -21+21+0
286: -21+21+1
287: -21+21+2
288: -21+21+3
289: -21+21+4
290: -21+20+0
291: -21+20+1
292: -21+20+2
293: -21+20+3
294: -21+20+4
295: -21+19+0
296: -21+19+1
297: -21+19+2
298: -21+19+3
299: -21+19+4
300: -20+28+0
301: -20+28+1
302: -20+28+2
303: -20+28+3
304: -20+28+4
305: -20+27+0
306: -20+27+1
307: -20+27+2
308: -20+27+3
309: -20+27+4
310: -20+26+0
311: -20+26+1
312: -20+26+2
313: -20+26+3
314: -20+26+4
315: -20+25+0
316: -20+25+1
317: -20+25+2
318: -20+25+3
319: -20+25+4
320: -20+24+0
321: -20+24+1
322: -20+24+2
323: -20+24+3
324: -20+24+4
325: -20+23+0
326: -20+23+1
327: -20+23+2
328: -20+23+3
329: -20+23+4
330: -20+22+0
331: -20+22+1
332: -20+22+2
333: -20+22+3
334: -20+22+4
335: -20+21+0
336: -20+21+1
337: -20+21+2
338: -20+21+3
339: -20+21+4
340: -20+20+0
341: -20+20+1
342: -20+20+2
343: -20+20+3
344: -20+20+4
345: -20+19+0
346: -20+19+1
347: -20+19+2
348: -20+19+3
349: -20+19+4
350: -20+18+0
351: -20+18+1
352: -20+18+2
353: -20+18+3
354: -20+18+4
355: -19+27+0
356: -19+27+1
357: -19+27+2
358: -19+27+3
359: -19+27+4
360: -19+26+0
361: -19+26+1
362: -19+26+2
363: -19+26+3
364: -19+26+4
365: -19+25+0
366: -19+25+1
367: -19+25+2
368: -19+25+3
369: -19+25+4
370: -19+24+0
371: -19+24+1
372: -19+24+2
373: -19+24+3
374: -19+24+4
375: -19+23+0
376: -19+23+1
377: -19+23+2
378: -19+23+3
379: -19+23+4
380: -19+22+0
381: -19+22+1
382: -19+22+2
383: -19+22+3
384: -19+22+4
385: -19+21+0
386: -19+21+1
387: -19+21+2
388: -19+21+3
389: -19+21+4
390: -19+20+0
391: -19+20+1
392: -19+20+2
393: -19+20+3
394: -19+20+4
395: -19+19+0
396: -19+19+1
397: -19+19+2
398: -19+19+3
399: -19+19+4
400: -19+18+0
401: -19+18+1
402: -19+18+2
403: -19+18+3
404: -19+18+4
405: -19+17+0
406: -19+17+1
407: -19+17+2
408: -19+17+3
409: -19+17+4
410: -18+28+0
411: -18+28+1
412: -18+28+2
