0: -30+29
1: -29+27
2: -29+28
3: -29+29
4: -28+27
5: -28+28
6: -28+29
7: -27+25
8: -27+26
9: -27+27
10: -27+28
11: -27+29
12: -26+24
13: -26+25
14: -26+26
15: -26+27
16: -26+28
17: -26+29
18: -25+23
19: -25+24
20: -25+25
21: -25+26
22: -25+27
23: -25+28
24: -25+29
25: -24+22
26: -24+23
27: -24+24
28: -24+25
29: -24+26
30: -24+27
31: -24+28
32: -24+29
33: -23+21
34: -23+22
35: -23+23
36: -23+24
37: -23+25
38: -23+26
39: -23+27
40: -23+28
41: -23+29
42: -22+20
43: -22+21
44: -22+22
45: -22+23
46: -22+24
47: -22+25
48: -22+26
49: -22+27
50: -21+19
51: -21+20
52: -21+21
53: -21+22
54: -21+23
55: -21+25
56: -21+26
57: -21+27
58: -21+28
59: -21+29
60: -20+18
61: -20+19
62: -20+20
63: -20+21
64: -20+22
65: -20+23
66: -20+24
67: -20+25
68: -20+26
69: -20+27
70: -20+28
71: -19+17
72: -19+18
73: -19+19
74: -19+20
75: -19+21
76: -19+22
77: -19+23
78: -19+24
79: -19+25
80: -19+26
81: -19+27
82: -18+16
83: -18+17
84: -18+18
85: -18+19
86: -18+20
87: -18+22
88: -18+23
89: -18+24
90: -18+25
91: -18+26
92: -18+27
93: -18+28
94: -17+15
95: -17+16
96: -17+17
97: -17+18
98: -17+19
99: -17+20
100: -17+21
101: -17+22
102: -17+23
103: -17+24
104: -17+25
105: -17+26
106: -17+27
107: -17+28
108: -17+29
109: -16+14
110: -16+15
111: -16+16
112: -16+17
113: -16+18
114: -16+19
115: -16+20
116: -16+21
117: -16+22
118: -16+23
119: -16+24
120: -16+25
121: -16+26
122: -16+27
123: -16+28
124: -16+29
125: -15+13
126: -15+14
127: -15+15
128: -15+16
129: -15+17
130: -15+18
131: -15+19
132: -15+20
133: -15+21
134: -15+22
135: -15+23
136: -15+24
137: -15+25
138: -15+26
139: -15+27
140: -15+28
141: -15+29
142: -14+12
143: -14+13
144: -14+14
145: -14+15
146: -14+16
147: -14+17
148: -14+18
149: -14+19
150: -14+20
151: -14+21
152: -14+22
153: -14+23
154: -14+24
155: -14+25
156: -14+26
157: -14+27
158: -14+28
159: -14+29
160: -13+11
161: -13+12
162: -13+13
163: -13+14
164: -13+15
165: -13+16
166: -13+17
167: -13+18
168: -13+19
169: -13+20
170: -13+21
171: -13+22
172: -13+23
173: -13+24
174: -13+25
175: -13+26
176: -13+27
177: -13+28
178: -13+29
179: -12+10
180: -12+11
181: -12+12
182: -12+13
183: -12+14
184: -12+15
185: -12+16
186: -12+17
187: -12+18
188: -12+19
189: -12+20
190: -12+21
191: -12+22
192: -12+23
193: -12+24
194: -12+25
195: -12+26
196: -12+27
197: -12+28
198: -12+29
199: -11+9
200: -11+10
201: -11+11
202: -11+12
203: -11+13
204: -11+14
205: -11+15
206: -11+16
207: -11+17
208: -11+18
209: -11+19
210: -11+20
211: -11+21
212: -11+22
213: -11+23
214: -11+24
215: -11+25
216: -11+26
217: -11+27
218: -11+28
219: -11+29
220: -10+8
221: -10+9
222: -10+10
223: -10+11
224: -10+12
225: -10+13
226: -10+14
227: -10+15
228: -10+16
229: -10+17
230: -10+18
231: -10+19
232: -10+20
233: -10+21
234: -10+22
235: -10+23
236: -10+24
237: -10+25
238: -10+26
239: -10+27
240: -10+28
241: -10+29
242: -9+7
243: -9+8
244: -9+9
245: -9+10
246: -9+11
247: -9+12
248: -9+13
249: -9+14
250: -9+15
251: -9+16
252: -9+17
253: -9+18
254: -9+19
255: -9+20
256: -9+21
257: -9+22
258: -9+23
259: -9+24
260: -9+25
261: -9+26
262: -9+27
263: -9+28
264: -9+29
265: -8+6
266: -8+7
267: -8+8
268: -8+9
269: -8+10
270: -8+11
271: -8+12
272: -8+13
273: -8+14
274: -8+15
275: -8+16
276: -8+17
277: -8+18
278: -8+19
279: -8+20
280: -8+21
281: -8+22
282: -8+23
283: -8+24
284: -8+25
285: -8+26
286: -8+27
287: -8+28
288: -8+29
289: -7+5
290: -7+6
291: -7+7
292: -7+8
293: -7+9
294: -7+10
295: -7+11
296: -7+12
297: -7+13
298: -7+14
299: -7+15
300: -7+16
301: -7+17
302: -7+18
303: -7+19
304: -7+20
305: -7+21
306: -7+22
307: -7+23
308: -7+24
309: -7+25
310: -7+26
311: -7+27
312: -7+28
313: -7+29
314: -6+4
315: -6+5
316: -6+6
317: -6+7
318: -6+8
319: -6+9
320: -6+10
321: -6+11
322: -6+12
323: -6+13
324: -6+14
325: -6+15
326: -6+16
327: -6+17
328: -6+18
329: -6+19
330: -6+20
331: -6+21
332: -6+22
333: -6+23
334: -6+24
335: -6+25
336: -6+26
337: -6+27
338: -6+28
339: -6+29
340: -5+3
341: -5+4
342: -5+5
343: -5+6
344: -5+7
345: -5+8
346: -5+9
347: -5+10
348: -5+11
349: -5+12
350: -5+13
351: -5+14
352: -5+15
353: -5+16
354: -5+17
355: -5+18
356: -5+19
357: -5+20
358: -5+21
359: -5+22
360: -5+23
361: -5+24
362: -5+25
363: -5+26
364: -5+27
365: -5+28
366: -5+29
367: -4+2
368: -4+3
369: -4+4
370: -4+5
371: -4+6
372: -4+7
373: -4+8
374: -4+9
375: -4+10
376: -4+11
377: -4+12
378: -4+13
379: -4+14
380: -4+15
381: -4+16
382: -4+17
383: -4+18
384: -4+19
385: -4+20
386: -4+21
387: -4+22
388: -4+23
389: -4+24
390: -4+25
391: -4+26
392: -4+27
393: -4+28
394: -4+29
395: -3+2
396: -3+3
397: -3+4
398: -3+5
399: -3+6
400: -3+7
401: -3+8
402: -3+9
403: -3+10
404: -3+11
405: -3+12
406: -3+13
407: -3+14
408: -3+15
409: -3+16
410: -3+17
411: -3+18
412: -3+19
413: -3+20
414: -3+21
415: -3+22
416: -3+23
417: -3+24
418: -3+25
419: -3+26
420: -3+27
421: -3+28
422: -3+29
423: -2+1
424: -2+2
425: -2+3
426: -2+4
427: -2+5
428: -2+6
429: -2+7
430: -2+8
431: -2+9
432: -2+10
433: -2+11
434: -2+12
435: -2+13
436: -2+14
437: -2+15
438: -2+16
439: -2+17
440: -2+18
441: -2+19
442: -2+20
443: -2+21
444: -2+22
445: -2+23
446: -2+24
447: -2+25
448: -2+26
449: -2+27
450: -2+28
451: -2+29
452: -1+1
453: -1+2
454: -1+3
455: -1+4
456: -1+5
457: -1+6
458: -1+7
459: -1+8
460: -1+9
461: -1+10
462: -1+11
463: -1+12
464: -1+13
465: -1+14
466: -1+15
467: -1+16
468: -1+17
469: -1+18
470: -1+19
471: -1+20
472: -1+21
473: -1+22
474: -1+23
475: -1+24
476: -1+25
477: -1+26
478: -1+27
479: -1+28
480: -1+29
481: 0+1
482: 0+2
483: 0+3
484: 0+4
485: 0+5
486: 0+6
487: 0+7
488: 0+8
489: 0+9
490: 0+10
491: 0+11
492: 0+12
493: 0+13
494: 0+14
495: 0+15
496: 0+16
497: 0+17
498: 0+18
499: 0+19
500: 0+20
501: 0+21
502: 0+22
503: 0+23
504: 0+24
505: 0+25
506: 0+26
507: 0+27
508: 0+28
509: 0+29
510: 1+1
511: 1+2
512: 1+3
513: 1+4
514: 1+5
515: 1+6
516: 1+7
517: 1+8
518: 1+9
519: 1+10
520: 1+11
521: 1+12
522: 1+13
523: 1+14
524: 1+15
525: 1+16
526: 1+17
527: 1+18
528: 1+19
529: 1+20
530: 1+21
531: 1+22
532: 1+23
533: 1+24
534: 1+25
535: 1+28
536: 1+A
537: 1+T
538: 1+C
539: 1+G
540: 2+AA
541: 2+AT
542: 2+AC
543: 2+AG
544: 2+TA
545: 2+TT
546: 2+TC
547: 2+TG
548: 2+CA
549: 2+CT
550: 2+CC
551: 2+CG
552: 2+GA
553: 2+GT
554: 2+GC
555: 2+GG
556: 3
